lambda_factor,service_factor,s,CT_mean,SLA_mean,rho_mean
1.1,1.1,2,172.6507411809278,0.7086023448936856,0.9308447704395564
1.1,1.1,3,170.46202957354518,0.9877411980172124,0.6259166290201286
1.1,1.1,4,215.44648872625226,0.9970991592740258,0.48338703442836756
1.1,1.2,1,353.8791408269363,0.0037325678432984346,0.999
1.1,1.2,2,144.5961595366035,0.8031023448936854,0.8520947704395565
1.1,1.2,3,167.05686044241642,0.9877411980172124,0.5734166290201286
1.1,1.2,4,211.89261466573126,0.9970991592740258,0.4440120344283677
1.2,0.8,1,521.4758566869034,0.0037325678432984346,0.999
1.2,0.8,2,365.2888473043064,0.1416023448936853,0.999
1.2,0.8,3,239.06657185420437,0.7024370855118374,0.9409166290201286
1.2,0.8,4,237.87860490732297,0.9920559155696773,0.7196370344283676
1.2,0.9,1,476.70078717735066,0.0037325678432984346,0.999
1.2,0.9,2,301.91727593119555,0.33060234489368534,0.999
1.2,0.9,3,200.80259063368626,0.8284370855118371,0.8359166290201288
1.2,0.9,4,229.69932669492718,0.9970991592740258,0.6408870344283677
1.2,1.0,1,440.8807315697084,0.0037325678432984346,0.999
1.2,1.0,2,251.2200188327068,0.4818023448936855,0.999
1.2,1.0,3,185.2079204458808,0.9292370855118373,0.7519166290201287
1.2,1.0,4,224.00939402543446,0.9970991592740258,0.5778870344283675
1.2,1.1,1,411.57341334527393,0.0037325678432984346,0.999
1.2,1.1,2,209.74044484303425,0.6055114358027764,0.9986953169483034
1.2,1.1,3,174.20528378011824,0.9877411980172124,0.6831893562928558
1.2,1.1,4,219.35399456857675,0.9970991592740258,0.526341579882913
1.2,1.2,1,387.1506481582452,0.0037325678432984346,0.999
1.2,1.2,2,175.1741331849738,0.7086023448936856,0.9308447704395564
1.2,1.2,3,170.48817679844174,0.9877411980172124,0.6259166290201287
1.2,1.2,4,215.4744950211954,0.9970991592740258,0.48338703442836756
